"Facility","Last Inspection Date","Score","Description","Address","City","Zip","Phone"
"HONEYBOBA",07/25/2019,72.0,"RESTAURANT (0-30) SEATS MODERATE RISK","608 AMERICANA WAY","GLENDALE","91210",""
"VICTOR'S CARNICERIA RESTAURANT",09/10/2019,81.0,"RESTAURANT (0-30) SEATS HIGH RISK","1710 LAKE ST","GLENDALE","91202-2832","661-759-7016"
"STREET LEVEL CAFE",09/09/2019,83.0,"RESTAURANT (0-30) SEATS MODERATE RISK","1166 GLENDALE BLVD","LOS ANGELES","90026","213-519-2013"
"GINETUN",06/11/2019,83.0,"RESTAURANT (61-150) SEATS HIGH RISK","333 1/2 N VERDUGO RD","GLENDALE","91206-3944","818-806-0199"
"ARKO FOODS-KITCHEN",06/25/2019,84.0,"RESTAURANT (0-30) SEATS HIGH RISK","1425 E COLORADO ST ","GLENDALE","91205",""
"FILIPINO BAGNET",07/17/2019,85.0,"RESTAURANT (0-30) SEATS HIGH RISK","1428 E COLORADO ST STE C","GLENDALE","91205","818-548-4277"
"RUBIO'S FRESH MEXICAN GRILL",08/07/2019,85.0,"RESTAURANT (31-60) SEATS HIGH RISK","249 N GLENDALE AVE STE B","GLENDALE","91206",""
"FIESTA SA BARRIO",07/11/2019,85.0,"RESTAURANT (31-60) SEATS HIGH RISK","1200 N PACIFIC AVE # 106","GLENDALE","91202","818-696-2244"
"KANPAI RAMEN",04/26/2019,86.0,"RESTAURANT (31-60) SEATS HIGH RISK","1023 E COLORADO ST # #E","GLENDALE","91205","818-956-5550"
"THE GOLDEN DREAMER",12/26/2018,86.0,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK","1549 GLENDALE BLVD","LOS ANGELES","90026","323-830-3403"
"HOUSE OF JOY",09/03/2019,87.0,"RESTAURANT (61-150) SEATS HIGH RISK","818 N PACIFIC BLVD STE I","GLENDALE","91023","818-241-0707"
"THAI ME UPP",09/03/2019,90.0,"RESTAURANT (0-30) SEATS HIGH RISK","818 PACIFIC AVE # D","GLENDALE","91203","818-696-1277"
"R101 RAMEN",07/16/2019,90.0,"RESTAURANT (31-60) SEATS HIGH RISK","415 S CENTRAL AVE # G","GLENDALE","91204","818-241-2400"
"LE PAIN QUOTIDIEN",07/12/2019,90.0,"RESTAURANT (61-150) SEATS HIGH RISK","730 AMERICANA WAY","GLENDALE","91210","310-367-6326"
"KOPAN RAMEN",08/27/2019,90.0,"RESTAURANT (61-150) SEATS HIGH RISK","126 N BRAND BLVD","GLENDALE","91203","818-242-0505"
"VEGAS BUFFET GLENDALE",09/27/2019,90.0,"RESTAURANT (151 + ) SEATS HIGH RISK","110 S BRAND BLVD","GLENDALE","91204","818-662-9011"
"ORGANIC GREEN CORNER CAFE",07/16/2019,90.0,"RESTAURANT (0-30) SEATS HIGH RISK","604 W GLENOAKS BLVD","GLENDALE","91202","818-507-5003"
"NATALIE ' S PRODUCE",09/17/2019,90.0,"FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK","467 W BROADWAY ","GLENDALE","91204","818-246-6756"
"GINGERGRASS SILVERLAKE LLC",09/30/2019,90.0,"RESTAURANT (31-60) SEATS HIGH RISK","2396 GLENDALE BLVD ","LOS ANGELES","90039",""
"TOASTED BUN",08/02/2019,90.0,"RESTAURANT (61-150) SEATS HIGH RISK","1013 S BRAND BLVD","GLENDALE","91204","818-696-1004"
"ARARAT RESTAURANT",09/12/2019,90.0,"RESTAURANT (61-150) SEATS HIGH RISK","6430 SAN FERNANDO RD","GLENDALE","91201","747-333-9944"
"MOONLIGHT RESTAURANT",06/05/2019,90.0,"RESTAURANT (61-150) SEATS HIGH RISK","1022 E CHEVY CHASE DR A&B","GLENDALE","91205","818-662-9090"
"BARRIO FIESTA",09/17/2019,90.0,"RESTAURANT (61-150) SEATS HIGH RISK","818 N PACIFIC AVE STE M","GLENDALE","91203","818-743-3350"
"SUBWAY",07/17/2019,90.0,"RESTAURANT (0-30) SEATS MODERATE RISK","1136 E BROADWAY ","GLENDALE","91205",""
"GOODFELLOW MARKET",05/09/2019,90.0,"FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK","1010 E BROADWAY ","GLENDALE","91205","818-265-5555"
"URBAN CAFE",04/03/2019,90.0,"RESTAURANT (0-30) SEATS MODERATE RISK","100 W BROADWAY STE 160","GLENDALE","91204",""
"FUJI BUFFET & GRILL",08/15/2019,90.0,"RESTAURANT (151 + ) SEATS HIGH RISK","300 HARVEY DR","GLENDALE","91206","818-553-1688"
"TROY DRIVE IN #6",08/28/2019,90.0,"RESTAURANT (31-60) SEATS HIGH RISK","520 S GLENDALE AVE ","GLENDALE","91205",""
"KHINKALI HOUSE",08/21/2019,90.0,"RESTAURANT (151 + ) SEATS HIGH RISK","113 N ARTSAKH AVE","GLENDALE","91206","818-649-1015"
"FLOR DE CAFE BAKERY",08/08/2019,90.0,"RESTAURANT (0-30) SEATS MODERATE RISK","537 E COLORADO ST ","GLENDALE","91205",""
"DON ALFONSO'S MEXICAN FOOD",09/26/2019,90.0,"RESTAURANT (31-60) SEATS HIGH RISK","815 E ARROW HWY","GLENDALE","91740","626-387-9779"
"CILANTRO",09/06/2019,90.0,"RESTAURANT (0-30) SEATS HIGH RISK","247 N BRAND BLVD","GLENDALE","91203","818-484-7248"
"CHESS PARK TAVERN",05/08/2019,90.0,"RESTAURANT (151 + ) SEATS HIGH RISK","231 N BRAND BLVD","GLENDALE","91203",""
